,Year,Month,Date,Hour,Minute,Second,Region,Lat,Lon,Depth(m),Mag,Mag_type
146,2020,12,19,6,22,47.1,MYANMAR,22.0856,94.6654,112460,4.1,mb
147,2020,12,12,4,14,10.9,MYANMAR-INDIA BORDER REGION,23.0317,94.2086,76920,4.2,mb
148,2020,12,10,16,56,51.3,NORTHEASTERN INDIA,26.1368,90.5536,35300,4.2,mb
149,2020,12,8,5,14,35.3,MYANMAR,22.1912,94.38,91030,5.1,mb
150,2020,12,6,14,39,13.8,MYANMAR,21.8358,93.4233,52560,4.6,mb
151,2020,12,6,13,35,41.2,"ANDAMAN ISLANDS, INDIA REGION",12.619,93.2653,62260,4.6,mb
152,2020,12,1,13,39,33.5,"YUNNAN, CHINA",25.0149,99.3985,10000,4.5,mb
153,2020,11,26,2,0,31.3,"ANDAMAN ISLANDS, INDIA REGION",10.1668,93.6071,10000,4.3,mb
154,2020,11,22,3,29,21,NORTHEASTERN INDIA,26.2945,94.7728,60630,4.3,mb
155,2020,11,22,0,0,40.6,"ANDAMAN ISLANDS, INDIA REGION",14.0018,92.5891,10000,4.3,mb
156,2020,11,21,4,49,33.5,MYANMAR-INDIA BORDER REGION,24.9595,94.9967,10000,4.5,mb
157,2020,11,17,3,28,22.7,"ANDAMAN ISLANDS, INDIA REGION",13.7389,92.4013,10000,4.3,mb
158,2020,11,14,8,50,26.7,MYANMAR-INDIA BORDER REGION,23.6114,94.5944,110520,5,Mww
159,2020,11,10,4,45,39.7,MYANMAR,22.7939,94.4538,104480,4.5,mb
160,2020,11,8,9,32,42.8,MYANMAR-INDIA BORDER REGION,24.203,94.1984,63580,4.3,mb
161,2020,11,8,9,12,23.8,EASTERN XIZANG-INDIA BORDER REG.,28.6287,96.3987,10000,4.3,mb
162,2020,11,7,6,19,11.5,"ANDAMAN ISLANDS, INDIA REGION",13.9453,92.9836,10000,4.5,mb
163,2020,11,6,3,6,50.2,MYANMAR,25.1148,96.3139,47500,4.3,mb
164,2020,11,2,19,43,17.1,INDIA-BANGLADESH BORDER REGION,25.7773,91.1728,10000,4.5,mb
165,2020,10,24,3,21,4.3,INDIA-BANGLADESH BORDER REGION,23.1224,92.2965,44640,4.4,mb
166,2020,10,20,19,55,50,MYANMAR-INDIA BORDER REGION,27.2257,96.1444,57980,4,mb
167,2020,10,14,23,39,1.1,"ANDAMAN ISLANDS, INDIA REGION",12.1851,95.7845,10000,4.3,mb
168,2020,10,13,1,36,21.2,MYANMAR-INDIA BORDER REGION,23.1644,94.1126,71720,4.5,mb
